time,w_1,w_2,w_3,v_1,v_2,v_3,q_w,q_x,q_y,q_z,zeta,AoA,M1,M2,M3
3.099999999999993,0.0,0.0,0.8699336461864712,0.0,0.0,113.61060537800601,-0.7426014123657293,0.0,0.0,0.6697336353748586,0.0,,0.0,0.0,0.0
3.124999999999993,0.0,0.0,0.8646138550325354,0.0,0.0,112.91237079014762,-0.756988005106682,0.0,0.0,0.6534287720361004,0.0,,0.0,0.0,0.0
3.149999999999993,0.0,0.0,0.8593365183205005,0.0,0.0,112.21968704978,-0.7709320167163097,0.0,0.0,0.6369174401770794,0.0,,0.0,0.0,0.0
3.1749999999999927,0.0,0.0,0.8541010413246669,0.0,0.0,111.53247621570885,-0.7844341752754913,0.0,0.0,0.6202120803885229,0.0,,0.0,0.0,0.0
3.1999999999999926,0.0,0.0,0.8489068401707593,0.0,0.0,110.85066176653913,-0.7974954893795173,0.0,0.0,0.6033249078393202,0.0,,0.0,0.0,0.0
3.2249999999999925,0.0,0.0,0.8437533415881633,0.0,0.0,110.17416856822267,-0.8101172368288899,0.0,0.0,0.5862679102532599,0.0,,0.0,0.0,0.0
3.2499999999999925,0.0,0.0,0.838639982668927,0.0,0.0,109.50292284249103,-0.8223009535549219,0.0,0.0,0.5690528462126047,0.0,,0.0,0.0,0.0
3.2749999999999924,0.0,0.0,0.8335662106333116,0.0,0.0,108.83685213614557,-0.834048422781307,0.0,0.0,0.5516912437731945,0.0,,0.0,0.0,0.0
3.2999999999999923,0.0,0.0,0.8285314826016831,0.0,0.0,108.1758852911777,-0.8453616644224202,0.0,0.0,0.5341943993762527,0.0,,0.0,0.0,0.0
3.324999999999992,0.0,0.0,0.8235352653725513,0.0,0.0,107.5199524156933,-0.8562429247187189,0.0,0.0,0.51657337704254,0.0,,0.0,0.0,0.0
3.349999999999992,0.0,0.0,0.818577035206558,0.0,0.0,106.86898485561586,-0.8666946661092519,0.0,0.0,0.4988390078349651,0.0,,0.0,0.0,0.0
3.374999999999992,0.0,0.0,0.8136562776162318,0.0,0.0,106.22291516714452,-0.876719557340948,0.0,0.0,0.4810018895762182,0.0,,0.0,0.0,0.0
3.399999999999992,0.0,0.0,0.8087724871613305,0.0,0.0,105.58167708994313,-0.8863204638140401,0.0,0.0,0.46307238680843904,0.0,,0.0,0.0,0.0
3.424999999999992,0.0,0.0,0.8039251672495996,0.0,0.0,104.94520552103808,-0.8955004381626926,0.0,0.0,0.44506063098237,0.0,,0.0,0.0,0.0
3.4499999999999917,0.0,0.0,0.7991138299427779,0.0,0.0,104.31343648940309,-0.9042627110696219,0.0,0.0,0.4269765208638731,0.0,,0.0,0.0,0.0
3.4749999999999917,0.0,0.0,0.7943379957676938,0.0,0.0,103.68630713120972,-0.9126106823132591,0.0,0.0,0.4088297231461137,0.0,,0.0,0.0,0.0
3.4999999999999916,0.0,0.0,0.7895971935322926,0.0,0.0,103.06375566572352,-0.9205479120457657,0.0,0.0,0.39062967325611775,0.0,,0.0,0.0,0.0
3.5249999999999915,0.0,0.0,0.7848909601464488,0.0,0.0,102.44572137182624,-0.9280781123000027,0.0,0.0,0.3723855763448197,0.0,,0.0,0.0,0.0
3.5499999999999914,0.0,0.0,0.7802188404474188,0.0,0.0,101.83214456514497,-0.9352051387233553,0.0,0.0,0.3541064084501012,0.0,,0.0,0.0,0.0
3.5749999999999913,0.0,0.0,0.7755803870297916,0.0,0.0,101.22296657577024,-0.9419329825361381,0.0,0.0,0.33580091782271115,0.0,,0.0,0.0,0.0
3.599999999999991,0.0,0.0,0.7709751600798072,0.0,0.0,100.61812972654522,-0.9482657627121415,0.0,0.0,0.31747762640532734,0.0,,0.0,0.0,0.0
3.624999999999991,0.0,0.0,0.7664027272139082,0.0,0.0,100.0175773119091,-0.954207718378724,0.0,0.0,0.2991448314553835,0.0,,0.0,0.0,0.0
3.649999999999991,0.0,0.0,0.7618626633214036,0.0,0.0,99.42125357727816,-0.9597632014337293,0.0,0.0,0.28081060730264235,0.0,,0.0,0.0,0.0
3.674999999999991,0.0,0.0,0.7573545504111188,0.0,0.0,98.82910369894873,-0.9649366693763733,0.0,0.0,0.2624828072328386,0.0,,0.0,0.0,0.0
3.699999999999991,0.0,0.0,0.7528779774619184,0.0,0.0,98.24107376450638,-0.9697326783491429,0.0,0.0,0.24416906548905343,0.0,,0.0,0.0,0.0
3.7249999999999908,0.0,0.0,0.7484325402769864,0.0,0.0,97.65711075372695,-0.9741558763876442,0.0,0.0,0.22587679938280672,0.0,,0.0,0.0,0.0
3.7499999999999907,0.0,0.0,0.7440178413417533,0.0,0.0,97.07716251995464,-0.9782109968752536,0.0,0.0,0.20761321150717377,0.0,,0.0,0.0,0.0
3.7749999999999906,0.0,0.0,0.7396334896853687,0.0,0.0,96.50117777194347,-0.9819028521993428,0.0,0.0,0.18938529204453972,0.0,,0.0,0.0,0.0
3.7999999999999905,0.0,0.0,0.7352791007456094,0.0,0.0,95.92910605614884,-0.9852363276057841,0.0,0.0,0.17119982116190546,0.0,,0.0,0.0,0.0
3.8249999999999904,0.0,0.0,0.7309542962371338,0.0,0.0,95.36089773945584,-0.9882163752483802,0.0,0.0,0.15306337148695082,0.0,,0.0,0.0,0.0
3.8499999999999903,0.0,0.0,0.7266587040229757,0.0,0.0,94.79650399233215,-0.9908480084298169,0.0,0.0,0.13498231065834182,0.0,,0.0,0.0,0.0
3.8749999999999902,0.0,0.0,0.7223919579891958,0.0,0.0,94.23587677239318,-0.9931362960306842,0.0,0.0,0.11696280394404361,0.0,,0.0,0.0,0.0
3.89999999999999,0.0,0.0,0.7181536979225926,0.0,0.0,93.67896880836769,-0.9950863571230911,0.0,0.0,0.09901081692166647,0.0,,0.0,0.0,0.0
3.92499999999999,0.0,0.0,0.7139435693913915,0.0,0.0,93.12573358445265,-0.9967033557653583,0.0,0.0,0.08113211821512915,0.0,,0.0,0.0,0.0
3.94999999999999,0.0,0.0,0.7097612236288245,0.0,0.0,92.5761253250463,-0.9979924959742588,0.0,0.0,0.06333228228217358,0.0,,0.0,0.0,0.0
3.97499999999999,0.0,0.0,0.7056063174195236,0.0,0.0,92.0300989798487,-0.9989590168712611,0.0,0.0,0.045616692247505974,0.0,,0.0,0.0,0.0
3.99999999999999,0.0,0.0,0.7014785129886435,0.0,0.0,91.48761020931951,-0.9996081879992145,0.0,0.0,0.02799054277657352,0.0,,0.0,0.0,0.0
4.02499999999999,0.0,0.0,0.6973774778936435,0.0,0.0,90.94861537048314,-0.9999453048059231,0.0,0.0,0.010458842985211872,0.0,,0.0,0.0,0.0
4.04999999999999,0.0,0.0,0.6933028849186509,0.0,0.0,90.41307150307141,-0.9999756842910457,0.0,0.0,-0.006973580619383137,0.0,,0.0,0.0,0.0
4.07499999999999,0.0,0.0,0.6892544119713367,0.0,0.0,89.8809363159945,-0.9997046608127687,0.0,0.0,-0.024302081170694115,0.0,,0.0,0.0,0.0
4.099999999999991,0.0,0.0,0.6852317419822321,0.0,0.0,89.35216817413118,-0.999137582050716,0.0,0.0,-0.04152218845206176,0.0,,0.0,0.0,0.0
4.124999999999991,0.0,0.0,0.6812345628064232,0.0,0.0,88.82672608542936,-0.9982798051215613,0.0,0.0,-0.05862960588693857,0.0,,0.0,0.0,0.0
4.1499999999999915,0.0,0.0,0.6772625671275537,0.0,0.0,88.30456968830867,-0.9971366928438374,0.0,0.0,-0.07562020751395938,0.0,,0.0,0.0,0.0
4.174999999999992,0.0,0.0,0.673315452364078,0.0,0.0,87.78565923935678,-0.9957136101484584,0.0,0.0,-0.09249003495038734,0.0,,0.0,0.0,0.0
4.199999999999992,0.0,0.0,0.6693929205776995,0.0,0.0,87.2699556013113,-0.9940159206314831,0.0,0.0,-0.10923529434731603,0.0,,0.0,0.0,0.0
4.2249999999999925,0.0,0.0,0.6654946783839389,0.0,0.0,86.75742023131991,-0.9920489832456987,0.0,0.0,-0.12585235333983846,0.0,,0.0,0.0,0.0
4.249999999999993,0.0,0.0,0.6616204368647727,0.0,0.0,86.24801516947086,-0.9898181491276072,0.0,0.0,-0.1423377379952264,0.0,,0.0,0.0,0.0
4.274999999999993,0.0,0.0,0.6577699114832872,0.0,0.0,85.7417030275867,-0.9873287585564581,0.0,0.0,-0.15868812976200708,0.0,,0.0,0.0,0.0
4.299999999999994,0.0,0.0,0.6539428220002964,0.0,0.0,85.23844697827433,-0.9845861380419793,0.0,0.0,-0.17490036242266807,0.0,,0.0,0.0,0.0
4.324999999999994,0.0,0.0,0.650138892392868,0.0,0.0,84.7382107442244,-0.9815955975375222,0.0,0.0,-0.19097141905257603,0.0,,0.0,0.0,0.0
4.349999999999994,0.0,0.0,0.6463578507747108,0.0,0.0,84.24095858775348,-0.9783624277753533,0.0,0.0,-0.20689842898755065,0.0,,0.0,0.0,0.0
4.374999999999995,0.0,0.0,0.6425994293183716,0.0,0.0,83.74665530058252,-0.974891897720881,0.0,0.0,-0.2226786648023999,0.0,,0.0,0.0,0.0
4.399999999999995,0.0,0.0,0.6388633641791973,0.0,0.0,83.25526619384553,-0.9711892521426435,0.0,0.0,-0.23830953930258975,0.0,,0.0,0.0,0.0
4.424999999999995,0.0,0.0,0.6351493954210128,0.0,0.0,82.76675708832235,-0.9672597092949304,0.0,0.0,-0.25378860253109603,0.0,,0.0,0.0,0.0
4.449999999999996,0.0,0.0,0.631457266943473,0.0,0.0,82.28109430488956,-0.963108458709948,0.0,0.0,-0.2691135387923625,0.0,,0.0,0.0,0.0
4.474999999999996,0.0,0.0,0.6277867264110437,0.0,0.0,81.79824465518402,-0.9587406590964992,0.0,0.0,-0.2842821636951749,0.0,,0.0,0.0,0.0
4.4999999999999964,0.0,0.0,0.6241375251835706,0.0,0.0,81.3181754324734,-0.9541614363421829,0.0,0.0,-0.2992924212161456,0.0,,0.0,0.0,0.0
4.524999999999997,0.0,0.0,0.6205094182483951,0.0,0.0,80.84085440272843,-0.9493758816161715,0.0,0.0,-0.31414238078539675,0.0,,0.0,0.0,0.0
4.549999999999997,0.0,0.0,0.6169021641539779,0.0,0.0,80.36624979589156,-0.944389049569678,0.0,0.0,-0.32883023439592696,0.0,,0.0,0.0,0.0
4.5749999999999975,0.0,0.0,0.6133155249449904,0.0,0.0,79.89433029733718,-0.9392059566312643,0.0,0.0,-0.343354293738045,0.0,,0.0,0.0,0.0
4.599999999999998,0.0,0.0,0.6097492660988401,0.0,0.0,79.42506503951824,-0.9338315793942017,0.0,0.0,-0.3577129873601609,0.0,,0.0,0.0,0.0
4.624999999999998,0.0,0.0,0.6062031564635901,0.0,0.0,78.95842359379482,-0.9282708530931404,0.0,0.0,-0.3719048578571318,0.0,,0.0,0.0,0.0
4.649999999999999,0.0,0.0,0.6026769681972395,0.0,0.0,78.49437596243972,-0.9225286701673945,0.0,0.0,-0.38592855908727275,0.0,,0.0,0.0,0.0
4.674999999999999,0.0,0.0,0.5991704767083311,0.0,0.0,78.03289257081687,-0.9166098789082054,0.0,0.0,-0.39978285341905934,0.0,,0.0,0.0,0.0
4.699999999999999,0.0,0.0,0.5956834605978526,0.0,0.0,77.57394425972805,-0.9105192821873898,0.0,0.0,-0.41346660900846677,0.0,,0.0,0.0,0.0
4.725,0.0,0.0,0.592215701602398,0.0,0.0,77.11750227792368,-0.9042616362648379,0.0,0.0,-0.42697879710781644,0.0,,0.0,0.0,0.0
4.75,0.0,0.0,0.5887669845385616,0.0,0.0,76.66353827477367,-0.8978416496723716,0.0,0.0,-0.44031848940692275,0.0,,0.0,0.0,0.0
4.775,0.0,0.0,0.5853370972485303,0.0,0.0,76.21202429309429,-0.8912639821715279,0.0,0.0,-0.45348485540726735,0.0,,0.0,0.0,0.0
4.800000000000001,0.0,0.0,0.5819258305468473,0.0,0.0,75.76293276212714,-0.8845332437828831,0.0,0.0,-0.46647715982985777,0.0,,0.0,0.0,0.0
4.825000000000001,0.0,0.0,0.5785329781683175,0.0,0.0,75.31623649066654,-0.8776539938845803,0.0,0.0,-0.4792947600573629,0.0,,0.0,0.0,0.0
4.850000000000001,0.0,0.0,0.5751583367170281,0.0,0.0,74.8719086603316,-0.8706307403777804,0.0,0.0,-0.49193710361105913,0.0,,0.0,0.0,0.0
4.875000000000002,0.0,0.0,0.5718017056164558,0.0,0.0,74.42992281897949,-0.863467938916799,0.0,0.0,-0.5044037256630598,0.0,,0.0,0.0,0.0
4.900000000000002,0.0,0.0,0.5684628870606364,0.0,0.0,73.99025287425634,-0.8561699922017467,0.0,0.0,-0.5166942465842453,0.0,,0.0,0.0,0.0
4.9250000000000025,0.0,0.0,0.5651416859663689,0.0,0.0,73.55287308728253,-0.8487412493315404,0.0,0.0,-0.5288083695282594,0.0,,0.0,0.0,0.0
4.950000000000003,0.0,0.0,0.5618379099264318,0.0,0.0,73.11775806646905,-0.8411860052151944,0.0,0.0,-0.540745878051884,0.0,,0.0,0.0,0.0
4.975000000000003,0.0,0.0,0.5585513691637862,0.0,0.0,72.68488276146168,-0.8335085000393613,0.0,0.0,-0.5525066337720607,0.0,,0.0,0.0,0.0
5.0000000000000036,0.0,0.0,0.5552818764867434,0.0,0.0,72.25422245721005,-0.8257129187901288,0.0,0.0,-0.5640905740597749,0.0,,0.0,0.0,0.0
5.025000000000004,0.0,0.0,0.5520292472450721,0.0,0.0,71.82575276815844,-0.8178033908271322,0.0,0.0,-0.5754977097709816,0.0,,0.0,0.0,0.0
5.050000000000004,0.0,0.0,0.5487932992870267,0.0,0.0,71.39944963255546,-0.809783989508091,0.0,0.0,-0.5867281230147059,0.0,,0.0,0.0,0.0
5.075000000000005,0.0,0.0,0.5455738529172715,0.0,0.0,70.97528930687976,-0.8016587318619177,0.0,0.0,-0.5977819649584136,0.0,,0.0,0.0,0.0
5.100000000000005,0.0,0.0,0.5423707308556834,0.0,0.0,70.55324836037899,-0.7934315783085986,0.0,0.0,-0.608659453670709,0.0,,0.0,0.0,0.0
5.125000000000005,0.0,0.0,0.5391837581970109,0.0,0.0,70.13330366971931,-0.7851064324240923,0.0,0.0,-0.6193608720013835,0.0,,0.0,0.0,0.0
5.150000000000006,0.0,0.0,0.5360127623713689,0.0,0.0,69.7154324137429,-0.7766871407485281,0.0,0.0,-0.6298865654988016,0.0,,0.0,0.0,0.0
5.175000000000006,0.0,0.0,0.5328575731055528,0.0,0.0,69.29961206833082,-0.7681774926360421,0.0,0.0,-0.6402369403645836,0.0,,0.0,0.0,0.0
5.200000000000006,0.0,0.0,0.5297180223851519,0.0,0.0,68.88582040136876,-0.7595812201446225,0.0,0.0,-0.6504124614455097,0.0,,0.0,0.0,0.0
5.225000000000007,0.0,0.0,0.5265939444174427,0.0,0.0,68.47403546781345,-0.750901997964382,0.0,0.0,-0.6604136502625453,0.0,,0.0,0.0,0.0
5.250000000000007,0.0,0.0,0.5234851755950479,0.0,0.0,68.06423560485703,-0.7421434433827195,0.0,0.0,-0.6702410830768584,0.0,,0.0,0.0,0.0
