# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
125.785,21.945,-5.489,7.284,0.033,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.556,293.153,NaN,NaN,NaN
126.065,20.407,-5.48,7.446,-0.01,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.412,293.153,NaN,NaN,NaN
126.346,18.868,-5.483,7.595,0.013,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.502,293.153,NaN,NaN,NaN
126.626,17.33,-5.479,7.769,-0.022,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.35,293.153,NaN,NaN,NaN
126.907,15.791,-5.485,7.89,-0.006,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.374,293.153,NaN,NaN,NaN
127.187,14.252,-5.487,7.801,-0.002,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.376,293.153,NaN,NaN,NaN
127.468,12.715,-5.487,7.876,0.038,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.572,293.153,NaN,NaN,NaN
127.748,11.178,-5.477,7.684,0.043,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.694,293.153,NaN,NaN,NaN
128.029,9.643,-5.465,7.424,0.156,NaN,NaN,2589,0.287,0,63.5,-8.062,0,26.4,293.153,NaN,NaN,NaN
128.31,8.112,-5.421,6.982,-0.181,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.042,293.153,NaN,NaN,NaN
128.593,6.568,-5.472,6.84,-0.034,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.328,293.153,NaN,NaN,NaN
128.874,5.03,-5.482,6.742,-0.008,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.371,293.153,NaN,NaN,NaN
129.155,3.493,-5.484,6.82,0.077,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.789,293.153,NaN,NaN,NaN
129.435,1.96,-5.462,7.029,-0.062,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.262,293.153,NaN,NaN,NaN
129.793,0,-5.484,7.2,0.004,NaN,NaN,2589,0.287,0,63.5,-8.062,0,25.396,293.153,NaN,0.18,NaN
